state_abbr,state_atri_detention_propensity,state_atri_severity_index
AK,20,0.7
AL,53,0.96
AR,44,0.87
AZ,50,0.93
CA,90,1.48
CO,48,0.92
CT,88,1.43
DC,60,1.2
DE,55,1.1
FL,75,1.2
GA,80,1.27
HI,30,0.85
IA,40,0.83
ID,32,0.78
IL,82,1.33
IN,64,1.06
KS,45,0.88
KY,55,0.97
LA,43,0.86
MA,84,1.4
MD,76,1.3
ME,28,0.75
MI,71,1.14
MN,65,1.08
MO,58,1.0
MS,41,0.84
MT,25,0.73
NC,62,1.04
ND,20,0.68
NE,39,0.82
NH,27,0.74
NJ,95,1.58
NM,31,0.77
NV,47,0.91
NY,92,1.52
OH,72,1.15
OK,42,0.85
OR,70,1.18
PA,86,1.37
RI,45,0.94
SC,52,0.95
SD,20,0.68
TN,63,1.05
TX,78,1.22
UT,46,0.9
VA,68,1.12
VT,25,0.72
WA,73,1.25
WI,56,0.98
WV,35,0.8
WY,22,0.7
