state_abbr,faf_state_freight_intensity,faf_state_hazmat_share,faf_state_reefer_share_faf
TX,2.15,0.28,0.1
CA,1.98,0.14,0.1
IL,1.72,0.16,0.08
OH,1.65,0.17,0.08
PA,1.58,0.16,0.08
FL,1.52,0.12,0.1
NY,1.48,0.1,0.08
GA,1.43,0.13,0.1
MI,1.38,0.1,0.08
WA,1.32,0.1,0.08
TN,1.28,0.1,0.08
NJ,1.25,0.15,0.08
IN,1.22,0.1,0.08
MO,1.18,0.1,0.08
NC,1.15,0.1,0.08
MN,1.12,0.1,0.08
WI,1.1,0.1,0.08
KY,1.08,0.18,0.08
LA,1.06,0.26,0.08
VA,1.04,0.1,0.08
AL,1.0,0.2,0.08
AZ,0.98,0.1,0.08
CO,0.96,0.1,0.08
SC,0.94,0.1,0.08
KS,0.92,0.1,0.08
OR,0.9,0.1,0.08
AR,0.88,0.1,0.08
IA,0.86,0.1,0.08
MS,0.84,0.1,0.08
OK,0.82,0.21,0.08
NE,0.8,0.1,0.08
UT,0.78,0.1,0.08
MD,0.76,0.1,0.08
NM,0.72,0.22,0.08
NV,0.7,0.1,0.08
ID,0.65,0.1,0.08
WV,0.63,0.2,0.08
ME,0.58,0.1,0.08
MT,0.55,0.1,0.08
SD,0.52,0.1,0.08
ND,0.5,0.1,0.08
WY,0.48,0.24,0.08
NH,0.45,0.1,0.08
DE,0.55,0.1,0.08
RI,0.42,0.1,0.08
VT,0.4,0.1,0.08
CT,0.68,0.1,0.08
HI,0.35,0.1,0.08
AK,0.3,0.1,0.08
DC,0.38,0.1,0.08
