year,month,ftsi_index,ftsi_yoy_pct,ppi_trucking_mom_pct,lmi_composite_index,lmi_transportation_capacity,lmi_transportation_utilization,lmi_transportation_prices,freight_tightness_score
2000,1,104.9,,,58.4,52.6,60.5,63.8,57.2
2000,2,103.0,,,58.4,52.6,60.5,63.8,57.2
2000,3,99.8,,,58.4,52.6,60.5,63.8,57.2
2000,4,97.9,,,58.4,52.6,60.5,63.8,57.2
2000,5,98.9,,,58.4,52.6,60.5,63.8,57.2
2000,6,99.9,,,58.4,52.6,60.5,63.8,57.2
2000,7,97.7,,,58.4,52.6,60.5,63.8,57.2
2000,8,99.7,,,58.4,52.6,60.5,63.8,57.2
2000,9,99.8,,,58.4,52.6,60.5,63.8,57.2
2000,10,99.5,,,58.4,52.6,60.5,63.8,57.2
2000,11,100.0,,,58.4,52.6,60.5,63.8,57.2
2000,12,98.9,,,58.4,52.6,60.5,63.8,57.2
2001,1,99.4,-0.0524,,58.4,52.6,60.5,63.8,57.2
2001,2,99.2,-0.0369,,58.4,52.6,60.5,63.8,57.2
2001,3,99.5,-0.003,,58.4,52.6,60.5,63.8,57.2
2001,4,97.9,0.0,,58.4,52.6,60.5,63.8,57.2
2001,5,99.4,0.0051,,58.4,52.6,60.5,63.8,57.2
2001,6,98.6,-0.013,,58.4,52.6,60.5,63.8,57.2
2001,7,97.7,0.0,,58.4,52.6,60.5,63.8,57.2
2001,8,99.2,-0.005,,58.4,52.6,60.5,63.8,57.2
2001,9,98.0,-0.018,,58.4,52.6,60.5,63.8,57.2
2001,10,98.8,-0.007,,58.4,52.6,60.5,63.8,57.2
2001,11,98.0,-0.02,,58.4,52.6,60.5,63.8,57.2
2001,12,97.6,-0.0131,,58.4,52.6,60.5,63.8,57.2
2002,1,98.7,-0.007,,58.4,52.6,60.5,63.8,57.2
2002,2,99.7,0.005,,58.4,52.6,60.5,63.8,57.2
2002,3,98.9,-0.006,,58.4,52.6,60.5,63.8,57.2
2002,4,99.6,0.0174,,58.4,52.6,60.5,63.8,57.2
2002,5,100.9,0.0151,,58.4,52.6,60.5,63.8,57.2
2002,6,101.4,0.0284,,58.4,52.6,60.5,63.8,57.2
2002,7,102.7,0.0512,,58.4,52.6,60.5,63.8,57.2
2002,8,102.4,0.0323,,58.4,52.6,60.5,63.8,57.2
2002,9,102.9,0.05,,58.4,52.6,60.5,63.8,57.2
2002,10,104.3,0.0557,,58.4,52.6,60.5,63.8,57.2
2002,11,104.7,0.0684,,58.4,52.6,60.5,63.8,57.2
2002,12,104.9,0.0748,,58.4,52.6,60.5,63.8,57.2
2003,1,104.0,0.0537,,58.4,52.6,60.5,63.8,57.2
2003,2,103.1,0.0341,,58.4,52.6,60.5,63.8,57.2
2003,3,103.5,0.0465,,58.4,52.6,60.5,63.8,57.2
2003,4,103.8,0.0422,,58.4,52.6,60.5,63.8,57.2
2003,5,102.8,0.0188,,58.4,52.6,60.5,63.8,57.2
2003,6,102.7,0.0128,,58.4,52.6,60.5,63.8,57.2
2003,7,104.1,0.0136,,58.4,52.6,60.5,63.8,57.2
2003,8,103.5,0.0107,,58.4,52.6,60.5,63.8,57.2
2003,9,104.8,0.0185,,58.4,52.6,60.5,63.8,57.2
2003,10,106.5,0.0211,,58.4,52.6,60.5,63.8,57.2
2003,11,106.0,0.0124,,58.4,52.6,60.5,63.8,57.2
2003,12,108.6,0.0353,,58.4,52.6,60.5,63.8,57.2
2004,1,107.6,0.0346,0.003,58.4,52.6,60.5,63.8,57.2
2004,2,107.7,0.0446,0.008,58.4,52.6,60.5,63.8,57.2
2004,3,110.2,0.0647,0.001,58.4,52.6,60.5,63.8,57.2
2004,4,110.6,0.0655,0.003,58.4,52.6,60.5,63.8,57.2
2004,5,110.2,0.072,0.0039,58.4,52.6,60.5,63.8,57.2
2004,6,110.9,0.0798,0.0059,58.4,52.6,60.5,63.8,57.2
2004,7,111.0,0.0663,0.001,58.4,52.6,60.5,63.8,57.2
2004,8,110.0,0.0628,0.0039,58.4,52.6,60.5,63.8,57.2
2004,9,110.6,0.0553,0.0097,58.4,52.6,60.5,63.8,57.2
2004,10,111.1,0.0432,0.0067,58.4,52.6,60.5,63.8,57.2
2004,11,112.0,0.0566,0.0067,58.4,52.6,60.5,63.8,57.2
2004,12,111.7,0.0285,-0.0057,58.4,52.6,60.5,63.8,57.2
2005,1,113.8,0.0576,0.0067,58.4,52.6,60.5,63.8,57.2
2005,2,113.0,0.0492,0.0066,58.4,52.6,60.5,63.8,57.2
2005,3,112.2,0.0181,0.0066,58.4,52.6,60.5,63.8,57.2
2005,4,112.9,0.0208,0.0056,58.4,52.6,60.5,63.8,57.2
2005,5,112.2,0.0181,0.0074,58.4,52.6,60.5,63.8,57.2
2005,6,111.7,0.0072,0.0009,58.4,52.6,60.5,63.8,57.2
2005,7,111.6,0.0054,-0.0009,58.4,52.6,60.5,63.8,57.2
2005,8,112.5,0.0227,0.0028,58.4,52.6,60.5,63.8,57.2
2005,9,111.5,0.0081,0.0129,58.4,52.6,60.5,63.8,57.2
2005,10,111.0,-0.0009,0.0118,58.4,52.6,60.5,63.8,57.2
2005,11,113.7,0.0152,0.0054,58.4,52.6,60.5,63.8,57.2
2005,12,112.3,0.0054,-0.008,58.4,52.6,60.5,63.8,57.2
2006,1,112.4,-0.0123,-0.0063,58.4,52.6,60.5,63.8,57.2
2006,2,111.5,-0.0133,0.0009,58.4,52.6,60.5,63.8,57.2
2006,3,112.0,-0.0018,0.0,58.4,52.6,60.5,63.8,57.2
2006,4,111.2,-0.0151,0.0036,58.4,52.6,60.5,63.8,57.2
2006,5,113.6,0.0125,0.0117,58.4,52.6,60.5,63.8,57.2
2006,6,113.0,0.0116,0.0027,58.4,52.6,60.5,63.8,57.2
2006,7,111.8,0.0018,0.0009,58.4,52.6,60.5,63.8,57.2
2006,8,109.6,-0.0258,0.0062,58.4,52.6,60.5,63.8,57.2
2006,9,112.8,0.0117,0.0018,58.4,52.6,60.5,63.8,57.2
2006,10,110.8,-0.0018,-0.0035,58.4,52.6,60.5,63.8,57.2
2006,11,108.5,-0.0457,-0.0044,58.4,52.6,60.5,63.8,57.2
2006,12,110.6,-0.0151,-0.0018,58.4,52.6,60.5,63.8,57.2
2007,1,109.9,-0.0222,0.0062,58.4,52.6,60.5,63.8,57.2
2007,2,110.5,-0.009,-0.0044,58.4,52.6,60.5,63.8,57.2
2007,3,111.7,-0.0027,-0.0009,58.4,52.6,60.5,63.8,57.2
2007,4,110.3,-0.0081,0.0044,58.4,52.6,60.5,63.8,57.2
2007,5,110.4,-0.0282,0.0018,58.4,52.6,60.5,63.8,57.2
2007,6,109.7,-0.0292,-0.0027,58.4,52.6,60.5,63.8,57.2
2007,7,108.7,-0.0277,0.0018,58.4,52.6,60.5,63.8,57.2
2007,8,109.6,0.0,0.0027,58.4,52.6,60.5,63.8,57.2
2007,9,109.3,-0.031,0.0044,58.4,52.6,60.5,63.8,57.2
2007,10,110.9,0.0009,0.0018,58.4,52.6,60.5,63.8,57.2
2007,11,110.7,0.0203,0.0096,58.4,52.6,60.5,63.8,57.2
2007,12,110.7,0.0009,0.0061,58.4,52.6,60.5,63.8,57.2
2008,1,113.4,0.0318,0.0017,58.4,52.6,60.5,63.8,57.2
2008,2,111.0,0.0045,-0.0009,58.4,52.6,60.5,63.8,57.2
2008,3,109.6,-0.0188,0.0052,58.4,52.6,60.5,63.8,57.2
2008,4,111.6,0.0118,0.0112,58.4,52.6,60.5,63.8,57.2
2008,5,111.3,0.0082,0.0229,58.4,52.6,60.5,63.8,57.2
2008,6,109.9,0.0018,0.0207,58.4,52.6,60.5,63.8,57.2
2008,7,111.1,0.0221,0.0081,58.4,52.6,60.5,63.8,57.2
2008,8,109.0,-0.0055,0.0,58.4,52.6,60.5,63.8,57.2
2008,9,107.4,-0.0174,-0.0177,58.4,52.6,60.5,63.8,57.2
2008,10,107.4,-0.0316,-0.0041,58.4,52.6,60.5,63.8,57.2
2008,11,104.2,-0.0587,-0.0289,58.4,52.6,60.5,63.8,57.2
2008,12,100.4,-0.093,-0.0229,58.4,52.6,60.5,63.8,57.2
2009,1,98.6,-0.1305,-0.0165,58.4,52.6,60.5,63.8,57.2
2009,2,101.1,-0.0892,-0.0097,58.4,52.6,60.5,63.8,57.2
2009,3,95.8,-0.1259,-0.0152,58.4,52.6,60.5,63.8,57.2
2009,4,94.9,-0.1496,-0.0063,58.4,52.6,60.5,63.8,57.2
2009,5,95.1,-0.1456,0.0009,58.4,52.6,60.5,63.8,57.2
2009,6,96.2,-0.1247,0.0027,58.4,52.6,60.5,63.8,57.2
2009,7,98.4,-0.1143,0.0118,58.4,52.6,60.5,63.8,57.2
2009,8,99.2,-0.0899,-0.0036,58.4,52.6,60.5,63.8,57.2
2009,9,99.8,-0.0708,0.0063,58.4,52.6,60.5,63.8,57.2
2009,10,98.6,-0.0819,-0.0081,58.4,52.6,60.5,63.8,57.2
2009,11,101.3,-0.0278,0.0063,58.4,52.6,60.5,63.8,57.2
2009,12,101.7,0.0129,-0.0054,58.4,52.6,60.5,63.8,57.2
2010,1,103.1,0.0456,-0.0009,58.4,52.6,60.5,63.8,57.2
2010,2,105.2,0.0406,0.0018,58.4,52.6,60.5,63.8,57.2
2010,3,105.4,0.1002,0.0081,58.4,52.6,60.5,63.8,57.2
2010,4,106.2,0.1191,0.0027,58.4,52.6,60.5,63.8,57.2
2010,5,106.3,0.1178,0.0089,58.4,52.6,60.5,63.8,57.2
2010,6,106.4,0.106,0.0027,58.4,52.6,60.5,63.8,57.2
2010,7,106.9,0.0864,-0.0009,58.4,52.6,60.5,63.8,57.2
2010,8,106.7,0.0756,0.0026,58.4,52.6,60.5,63.8,57.2
2010,9,107.2,0.0741,0.0009,58.4,52.6,60.5,63.8,57.2
2010,10,107.8,0.0933,0.0053,58.4,52.6,60.5,63.8,57.2
2010,11,107.3,0.0592,0.0122,58.4,52.6,60.5,63.8,57.2
2010,12,108.7,0.0688,0.0026,58.4,52.6,60.5,63.8,57.2
2011,1,110.0,0.0669,0.0034,58.4,52.6,60.5,63.8,57.2
2011,2,109.4,0.0399,0.0077,58.4,52.6,60.5,63.8,57.2
2011,3,110.9,0.0522,0.0162,58.4,52.6,60.5,63.8,57.2
2011,4,110.3,0.0386,0.0142,58.4,52.6,60.5,63.8,57.2
2011,5,108.5,0.0207,0.0058,58.4,52.6,60.5,63.8,57.2
2011,6,110.3,0.0367,-0.0025,58.4,52.6,60.5,63.8,57.2
2011,7,110.1,0.0299,-0.0008,58.4,52.6,60.5,63.8,57.2
2011,8,110.6,0.0366,-0.0008,58.4,52.6,60.5,63.8,57.2
2011,9,111.2,0.0373,0.0066,58.4,52.6,60.5,63.8,57.2
2011,10,111.5,0.0343,0.0,58.4,52.6,60.5,63.8,57.2
2011,11,111.8,0.0419,0.0098,58.4,52.6,60.5,63.8,57.2
2011,12,114.8,0.0561,0.0008,58.4,52.6,60.5,63.8,57.2
2012,1,111.2,0.0109,0.0057,58.4,52.6,60.5,63.8,57.2
2012,2,111.7,0.021,0.0048,58.4,52.6,60.5,63.8,57.2
2012,3,111.6,0.0063,0.0128,58.4,52.6,60.5,63.8,57.2
2012,4,111.8,0.0136,0.004,58.4,52.6,60.5,63.8,57.2
2012,5,112.7,0.0387,0.0024,58.4,52.6,60.5,63.8,57.2
2012,6,113.5,0.029,-0.0094,58.4,52.6,60.5,63.8,57.2
2012,7,113.2,0.0282,-0.0016,58.4,52.6,60.5,63.8,57.2
2012,8,112.6,0.0181,0.0096,58.4,52.6,60.5,63.8,57.2
2012,9,111.8,0.0054,0.0047,58.4,52.6,60.5,63.8,57.2
2012,10,110.2,-0.0117,-0.0016,58.4,52.6,60.5,63.8,57.2
2012,11,111.8,0.0,-0.0024,58.4,52.6,60.5,63.8,57.2
2012,12,111.9,-0.0253,0.0008,58.4,52.6,60.5,63.8,57.2
2013,1,114.1,0.0261,-0.0024,58.4,52.6,60.5,63.8,57.2
2013,2,115.6,0.0349,0.0039,58.4,52.6,60.5,63.8,57.2
2013,3,115.5,0.0349,0.0063,58.4,52.6,60.5,63.8,57.2
2013,4,114.7,0.0259,-0.0039,58.4,52.6,60.5,63.8,57.2
2013,5,115.7,0.0266,0.0024,58.4,52.6,60.5,63.8,57.2
