state_abbr,state_fatal_crashes_2023,state_fatal_fatalities_2023,state_avg_fatals_per_crash,state_crashes_involving_trucks,state_fatal_crash_index
AL,893,974,1.091,0.139,22.3
AK,56,60,1.071,0.179,0.4
AZ,1195,1304,1.091,0.121,30.1
AR,542,596,1.1,0.164,13.1
CA,3727,4061,1.09,0.096,96.2
CO,666,720,1.081,0.131,16.3
CT,289,308,1.066,0.114,6.5
DE,128,135,1.055,0.078,2.3
DC,39,44,1.128,0.026,0.0
FL,3183,3396,1.067,0.103,82.0
GA,1491,1615,1.083,0.119,37.9
HI,88,93,1.057,0.034,1.3
ID,242,275,1.136,0.202,5.3
IL,1143,1241,1.086,0.152,28.8
IN,842,898,1.067,0.162,20.9
IA,328,377,1.149,0.204,7.5
KS,353,387,1.096,0.212,8.2
KY,767,814,1.061,0.138,19.0
LA,755,811,1.074,0.144,18.7
ME,127,135,1.063,0.142,2.3
MD,577,621,1.076,0.118,14.0
MA,325,343,1.055,0.08,7.5
MI,1020,1094,1.073,0.093,25.6
MN,370,409,1.105,0.178,8.6
MS,665,732,1.101,0.146,16.3
MO,905,991,1.095,0.126,22.6
MT,196,208,1.061,0.168,4.1
NE,206,227,1.102,0.243,4.4
NV,351,389,1.108,0.137,8.1
NH,122,130,1.066,0.082,2.2
NJ,573,606,1.058,0.099,13.9
NM,402,437,1.087,0.231,9.5
NY,1033,1114,1.078,0.112,25.9
NC,1449,1561,1.077,0.121,36.8
ND,96,106,1.104,0.25,1.5
OH,1150,1242,1.08,0.129,29.0
OK,643,718,1.117,0.18,15.7
OR,534,587,1.099,0.154,12.9
PA,1133,1211,1.069,0.144,28.5
RI,67,71,1.06,0.06,0.7
SC,976,1047,1.073,0.114,24.4
SD,128,140,1.094,0.18,2.3
TN,1219,1323,1.085,0.112,30.8
TX,3874,4291,1.108,0.167,100.0
UT,251,280,1.116,0.215,5.5
VT,63,69,1.095,0.111,0.6
VA,855,913,1.068,0.13,21.3
WA,733,810,1.105,0.102,18.1
WV,233,260,1.116,0.176,5.1
WI,530,583,1.1,0.143,12.8
WY,121,144,1.19,0.289,2.1
