state_abbr,state_parking_spots_total,state_parking_spots_per_100mi,state_parking_scarcity_index
AL,709.0,2.28,87.6
AR,372.0,1.71,94.4
AZ,455.0,2.15,89.2
CA,1251.0,2.38,86.4
CO,332.0,1.57,96.1
CT,521.0,9.65,0.0
DE,93.0,4.65,59.5
FL,2982.0,6.44,38.2
GA,1701.0,4.54,60.8
IA,614.0,2.59,83.9
ID,275.0,2.12,89.5
IL,1670.0,4.27,64.0
IN,2531.0,8.82,9.9
KS,616.0,2.25,88.0
KY,1189.0,4.63,59.7
LA,390.0,1.84,92.9
MA,393.0,4.23,64.4
MD,596.0,5.23,52.6
ME,282.0,4.27,64.0
MI,1657.0,4.92,56.2
MN,700.0,2.56,84.3
MO,1174.0,3.32,75.3
MS,366.0,1.65,95.1
MT,703.0,4.69,59.0
NC,758.0,1.97,91.3
ND,189.0,1.24,100.0
NE,333.0,1.51,96.8
NH,194.0,4.31,63.5
NJ,735.0,7.28,28.2
NM,344.0,1.71,94.4
NV,350.0,2.12,89.5
NY,1791.0,7.65,23.8
OH,2588.0,6.28,40.1
OK,527.0,1.8,93.3
OR,576.0,3.31,75.4
PA,1670.0,5.06,54.6
RI,97.0,6.06,42.7
SC,842.0,3.51,73.0
SD,353.0,1.95,91.6
TN,1084.0,3.61,71.8
TX,1237.0,1.49,97.0
UT,472.0,3.15,77.3
VA,727.0,2.51,84.9
VT,236.0,6.21,40.9
WA,716.0,3.35,74.9
WI,938.0,3.36,74.8
WV,654.0,4.64,59.6
WY,820.0,7.59,24.5
AK,635.0,3.355,74.85
HI,635.0,3.355,74.85
DC,635.0,3.355,74.85
